id,msbase,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname
860,23,21,,26,18,27,35,27,39,30,27,20,35,28,37,50,5,s111
952,42,33,39,7,38,46,46,43,41,46,49,,46,47,,50,5,Spaklerweg
953,42,34,,41,35,52,52,49,25,30,48,43,56,40,43,50,5,Spaklerweg
956,43,35,,41,35,55,54,49,24,30,45,42,56,40,46,50,5,Spaklerweg
961,35,27,39,13,34,37,44,38,35,42,43,,48,45,,50,5,Spaklerweg
969,39,7,,35,35,50,50,49,38,30,41,42,56,40,43,50,5,Spaklerweg
972,25,13,39,15,25,34,18,30,35,33,36,,33,35,,50,5,Spaklerweg
983,31,29,39,22,27,33,30,36,35,36,38,42,45,35,,50,5,Weesperzijde
984,31,27,39,26,34,33,35,30,34,39,39,33,38,31,,50,5,Overzichtweg
993,22,23,17,25,20,22,21,25,39,30,26,,34,20,37,50,5,Weesperzijde
994,22,8,39,22,25,29,25,29,35,29,30,28,45,27,,50,5,s111
995,32,26,,32,35,37,35,27,39,30,36,,43,40,37,50,5,Spaklerweg
997,27,27,39,22,25,29,25,30,28,33,38,42,45,28,,50,5,Weesperzijde
1002,23,18,39,22,25,29,25,30,31,28,30,28,45,26,,50,5,Weesperzijde
1004,23,23,19,28,20,27,23,25,39,30,29,,35,28,37,50,5,Weesperzijde
1005,24,22,,28,27,27,35,27,39,30,26,20,35,28,37,50,5,s111
1007,29,26,26,14,20,30,19,30,39,30,34,,33,34,37,50,5,Overzichtweg
1009,22,22,25,28,18,27,24,27,39,30,29,,35,28,37,50,5,s111
1010,40,42,37,40,88,47,32,40,39,30,47,,55,44,45,50,5,Overzichtweg
1011,35,27,39,25,33,36,37,31,39,35,42,51,44,41,,50,5,Overzichtweg
1012,42,28,39,10,40,46,45,41,47,44,49,,50,46,,50,5,Spaklerweg
1013,42,35,,41,43,50,46,49,26,30,48,44,51,40,43,50,5,Spaklerweg
1020,42,32,39,13,42,47,45,41,47,44,47,,50,47,,50,5,Spaklerweg
1021,39,26,,40,43,45,36,46,29,30,51,44,46,40,37,50,5,Spaklerweg
1033,28,27,,,,,,,,,,29,,,,50,5,H.J.E. Wenckebachweg
1035,35,12,,,,,26,,,,,,,,,50,6,Duivendrechtsekade
1036,42,12,,,,,,,,,,,,,,50,6,Duivendrechtsekade
1037,33,27,,37,,,,,,,,31,,,,50,5,H.J.E. Wenckebachweg
1041,40,20,,,,,37,,,,,,,,,50,6,Duivendrechtsekade
1043,33,27,,44,,,,,,,,31,,,,50,5,H.J.E. Wenckebachweg
1049,20,27,,,,,,,,,,27,,,,50,5,H.J.E. Wenckebachweg
1051,21,27,,,,,,,,,,24,,,,50,5,H.J.E. Wenckebachweg
1053,24,27,,,,,,,,,,23,,,,50,5,H.J.E. Wenckebachweg
1055,18,27,22,14,16,32,31,29,20,29,42,32,32,33,47,50,4,Julianaplein
1059,22,32,45,42,37,79,47,15,39,31,49,,30,44,38,50,4,Julianaplein
1062,26,32,45,42,37,87,59,42,21,44,49,,30,44,38,50,4,Julianaplein
1063,27,29,26,18,72,43,27,32,,30,33,,39,56,37,50,5,Overzichtweg
1068,26,8,5,36,33,46,45,30,41,31,40,49,47,44,37,50,4,Julianaplein
1069,24,23,29,32,23,35,27,25,22,27,49,,32,29,,50,5,Julianaplein
1074,25,16,28,11,19,35,30,24,29,28,40,44,35,36,,50,5,Overzichtweg
1075,35,35,36,29,72,43,27,38,39,30,33,,49,52,37,50,5,Overzichtweg
1078,26,16,28,23,28,35,33,25,32,36,40,48,32,39,38,50,4,Julianaplein
1079,29,34,36,20,72,43,27,38,39,30,33,,41,52,37,50,5,Overzichtweg
1080,24,12,29,19,18,35,29,24,27,28,40,44,35,36,,50,5,Overzichtweg
1081,32,34,36,26,72,43,27,38,39,30,33,,48,52,37,50,5,Overzichtweg
1082,29,21,39,11,24,37,35,26,34,28,40,44,42,36,,50,5,Overzichtweg
1088,27,21,39,11,24,36,33,26,29,28,40,44,35,36,,50,5,Overzichtweg
1107,24,19,27,27,,25,23,23,28,36,26,23,,24,32,50,4,Julianaplein
1108,33,29,33,34,108,39,35,42,38,43,39,28,,47,42,50,4,Hugo de Vrieslaan
1109,25,32,45,42,37,87,59,42,39,44,49,,30,44,38,50,4,Julianaplein
1110,29,32,29,20,34,35,35,32,33,35,39,38,32,38,35,50,4,Julianaplein
1115,42,35,42,43,126,48,50,49,59,42,52,43,43,64,42,50,4,Hugo de Vrieslaan
1116,47,53,51,32,50,62,44,40,50,46,54,51,63,56,38,50,4,Hugo de Vrieslaan
1117,44,38,40,43,124,47,51,45,59,35,51,47,47,63,43,50,4,Hugo de Vrieslaan
1118,47,48,53,34,49,59,44,42,46,48,55,52,61,61,34,50,4,Hugo de Vrieslaan
1119,38,43,44,36,40,49,45,30,38,46,50,34,55,37,58,50,4,Hugo de Vrieslaan
1121,25,32,45,42,37,87,59,42,21,44,49,,30,44,38,50,4,Julianaplein
1123,26,18,24,21,,25,23,34,30,38,27,27,,25,40,50,4,Julianaplein
1124,29,6,24,36,37,52,42,30,42,31,41,46,47,46,31,50,4,Hugo de Vrieslaan
1125,37,43,38,35,42,52,42,34,44,47,48,46,47,47,31,50,4,Hugo de Vrieslaan
1128,41,45,44,33,42,58,42,39,45,47,55,47,54,51,31,50,4,Hugo de Vrieslaan
1129,22,19,28,24,92,27,17,33,,30,21,,23,62,37,50,5,Julianaplein
1130,24,23,28,24,28,86,31,25,26,32,42,,32,27,,50,4,Julianaplein
1131,39,35,38,39,110,43,42,45,48,43,45,39,39,62,46,50,4,Hugo de Vrieslaan
1132,45,54,50,33,50,60,43,40,51,46,55,48,63,53,40,50,4,Hugo de Vrieslaan
1133,42,35,42,45,126,47,49,50,54,43,52,42,39,64,42,50,4,Hugo de Vrieslaan
1143,26,20,,,,,,,,,,,,,,35,6,Von Liebigweg
1145,25,26,,,,,,,,,,,,,24,35,6,Von Liebigweg
1153,33,24,,,,,,,,,,,,,24,35,6,Von Liebigweg
1155,72,76,76,72,69,77,74,77,73,79,79,86,79,75,72,80,2,Gooiseweg
1156,33,25,,,,,,,,,,,,,24,35,6,Von Liebigweg
1158,69,14,20,16,41,37,70,71,71,82,75,70,72,76,79,80,2,Gooiseweg
1159,26,26,,,,,,,,,,,,,24,35,6,Von Liebigweg
1161,25,28,,,,,,,,,,,,,24,35,6,Von Liebigweg
1170,23,23,,,,,,,,,,,,,24,35,6,Von Liebigweg
1172,23,25,,,,,,,,,,,,,24,35,6,Von Liebigweg
1174,32,27,,,,,,,,,,,,,24,35,6,Von Liebigweg
1178,28,27,,,,,,,,,,,,,24,35,6,Von Liebigweg
1181,16,2,,,,,,,,,,,,,,35,6,Rustenburgerstraat
1183,28,19,30,32,32,25,39,31,31,30,32,28,29,43,25,50,5,Van Woustraat
1194,19,45,43,50,,40,17,49,44,44,41,41,,46,49,35,6,Kruislaan
1196,36,39,13,54,43,43,46,35,51,46,,38,,,,35,6,Kruislaan
1200,14,22,,,,,,,,,,,,,22,35,6,Fizeaustraat
1204,9,19,,,,,,,,,,,,,,35,6,Tolstraat
1222,19,23,,,,,,,,,,,,,22,35,6,Fizeaustraat
1225,36,13,39,35,41,43,23,36,78,38,,30,28,34,42,50,5,Sarphatipark
1229,30,24,21,36,84,21,,32,,36,,36,,30,,50,5,Maxwellstraat
1231,28,24,8,33,84,19,,27,,43,,25,,30,,50,5,Maxwellstraat
1239,30,19,25,34,33,29,41,34,26,32,33,31,32,40,25,50,5,Van Woustraat
1243,22,24,,,,,,,,,,,,,36,35,6,Fizeaustraat
1251,0,19,20,41,25,25,34,21,22,29,37,26,26,40,25,50,5,Van Woustraat
1271,45,55,47,49,89,55,,50,,47,,38,,45,,50,5,Maxwellstraat
1273,22,24,,,,18,,,,,,,,,36,35,6,Fizeaustraat
1279,23,24,,,,18,,,,,,,,,36,35,6,Fizeaustraat
1282,19,21,,,15,,,,,,,22,,,19,35,6,Pieter Aertszstraat
1284,19,24,,,23,,,,,,,,,,31,35,6,Fizeaustraat
1291,16,31,37,14,20,39,29,39,40,30,25,31,45,39,33,50,5,Van Woustraat
1297,16,21,,,,,,,,,,,,,,35,6,Tolstraat
1299,15,28,36,23,25,38,30,34,45,30,40,31,44,36,36,50,5,Van Woustraat
1301,17,19,16,31,23,24,36,29,22,30,35,26,24,44,21,50,5,Van Woustraat
1303,17,25,,17,23,13,,15,,,,23,,,31,35,6,Fizeaustraat
1313,42,52,44,48,90,56,,52,17,44,,38,,47,,50,5,Maxwellstraat
1316,41,52,45,48,89,53,,52,20,44,,38,,47,,50,5,Maxwellstraat
1321,16,27,,26,23,13,,,,,,,,,31,35,6,Fizeaustraat
1322,45,47,41,36,43,48,44,33,43,44,50,26,55,37,59,50,4,Hugo de Vrieslaan
1325,48,48,52,39,44,50,44,49,46,48,54,51,54,41,59,50,4,Hugo de Vrieslaan
1326,40,38,44,38,74,45,48,48,57,22,48,24,42,56,43,50,4,Hugo de Vrieslaan
1327,46,48,49,39,44,48,44,41,45,46,50,47,55,40,59,50,4,Hugo de Vrieslaan
1331,41,33,42,47,34,37,46,49,48,47,49,52,43,48,47,50,2,Wibautstraat
1332,40,50,46,47,89,52,,50,29,44,,50,,46,,50,5,Maxwellstraat
1336,18,15,,,,,,,39,,,,,,,35,6,Graaf Florisstraat
1337,39,37,46,45,53,45,47,48,57,20,46,,42,55,43,50,4,Hugo de Vrieslaan
1339,21,44,48,43,44,40,44,48,51,50,49,58,46,44,47,50,2,Wibautstraat
1431,31,32,27,45,39,25,42,31,26,33,35,28,33,11,41,50,2,Mr. Treublaan
1348,41,37,42,45,23,45,47,28,58,20,44,,42,55,44,50,4,Hugo de Vrieslaan
1351,50,55,56,35,47,51,43,52,51,51,55,59,54,42,59,50,4,Hugo de Vrieslaan
1352,47,44,48,55,23,47,52,19,56,20,48,,44,73,44,50,4,Hugo de Vrieslaan
1353,45,40,44,55,23,45,48,19,57,20,46,,44,60,44,50,4,Hugo de Vrieslaan
1356,75,78,85,77,84,78,77,78,77,86,85,94,87,83,75,80,2,Gooiseweg
1357,51,55,56,35,48,44,37,54,51,51,56,59,54,47,59,50,4,Hugo de Vrieslaan
1358,47,42,48,53,23,48,52,19,55,20,55,,44,73,42,50,4,Hugo de Vrieslaan
1367,67,11,12,6,17,12,55,63,70,78,69,71,71,71,79,80,2,Gooiseweg
1368,39,39,42,47,41,32,43,19,55,20,47,,35,72,43,50,4,Hugo de Vrieslaan
1369,21,17,13,17,17,36,21,30,25,18,37,12,48,16,45,50,4,Hugo de Vrieslaan
1374,42,45,48,40,90,52,,49,34,43,,50,,46,39,50,5,Maxwellstraat
1377,66,11,10,10,12,11,23,63,70,76,69,71,67,71,72,80,2,Gooiseweg
1378,75,77,84,73,85,77,79,77,79,87,80,88,82,80,73,80,2,Gooiseweg
1386,34,34,43,40,89,46,,41,34,43,,38,,33,39,50,5,Maxwellstraat
1387,76,78,81,80,80,79,72,84,77,81,75,81,80,83,73,70,0,E35
1388,94,97,97,98,99,96,95,101,97,98,101,99,96,100,96,100,0,Ringweg-Zuid
