id,msbase,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit
4953,,,,,,,,16,17,,,,,12,,60
4954,21,24,,,,,,,,,,,,,,35
4955,16,,,,,13,,,,,,,,41,,35
4956,,,,,,,,,,,,,13,,,30
4957,15,,10,,,,,,,,,29,,15,,20
4958,26,,,18,,,,,,,,,,,,30
4959,,,,,19,,,,17,,28,,,,25,20
4960,17,,10,,,,27,,,,,,4,,,20
4961,24,,,,19,,,,,,,,13,,,20
4962,27,,,,,,,,,,,,,,,50
4963,,,,,,,,,,,,,,,,50
4964,91,,,,,,,,,,,,12,,,20
4965,51,,43,46,43,41,,44,46,50,,,49,40,,60
4966,53,,,31,,,,28,41,,,,,29,,60
4967,25,,,,,,,30,,,,,,,,20
5079,,,,,,,,,,,18,,,,,50
4968,,,,,,,,,,,31,,,,,20
4969,20,,,,,23,,,,,,,,,,20
4970,9,,,,,,12,,,,28,,,,,20
4971,23,,,,,,,29,,,,,,,,20
4972,22,,,,,,,29,27,,,,,,,20
4973,1,,,,,,14,,,,33,,,,,20
4974,13,,,,,,,15,,,,,,,,30
4975,,,,,,,,,,,,7,,,,30
4976,,,,,,21,,,,,,,,,,30
4977,18,,,,,,,25,,,,,,,,30
4978,,,,,,,,,,,,13,,,,20
4979,21,,,,,,,29,29,,,,,,,20
4980,,,,,,,,,,,,29,,,,35
4981,,,,45,,,,,27,,30,,,,,35
4982,,,,,,22,,,,,,,,,,30
4983,20,,,,,,,,,,,,,,,30
4984,1,,,,,,31,,,,31,,,,,20
4985,30,24,10,12,45,11,,,,,,,,9,,20
4986,,,,,,,,,,,,,,,,20
4987,33,,41,,26,28,15,12,37,,19,16,29,20,,50
4988,,,29,18,,7,,,,,,,,,,20
4989,,,,,,11,,,,,,,,,,20
4990,34,21,32,30,24,24,31,27,16,37,40,26,15,31,40,50
4991,26,13,10,21,9,21,31,35,14,32,43,19,15,9,38,50
4992,23,,,33,,,,,44,,33,29,42,53,,30
4993,38,,39,,35,55,22,33,21,,39,,,,27,50
4994,,,,,,,,,,,,31,,,,30
4995,20,26,12,21,9,25,20,17,12,11,22,19,16,,33,50
4996,17,,,,,,,24,,,,,,,,20
4997,,,,,,24,,,,,,,,,,20
4998,,,,,,,,,,,,30,,,,30
4999,22,,,33,,,,,22,,39,,,,19,30
5000,,,,,,,,,,,,31,,,,30
5001,22,,,33,,,,,23,,39,,,,16,30
5002,,,,,,,,,,,,32,,,,35
5003,,,,45,,,,,29,,38,,,,,35
5004,,,,,,,,,,,,,,,,30
5005,25,,,,,,,,,,,,,,19,30
5006,,,,,,,,,,,,,,,,30
5007,38,8,15,16,25,9,,,,,,14,7,,,30
5008,2,,,,,,,,,,,,,,,20
5009,,,,,,,,,,,,,,,,30
5010,18,,,,,,2,,,,,,,,,30
5011,21,,14,,29,21,31,,,,,,28,16,,30
5012,53,42,47,74,57,45,65,60,61,59,,55,10,,68,50
5013,51,45,58,59,46,54,55,59,,50,31,12,109,73,46,50
5014,56,50,62,62,72,50,69,64,66,70,,55,,,71,50
5015,,,,,,,,,,,,,,,,20
5016,56,31,58,58,65,48,66,65,66,57,,55,,,71,50
5017,,,,,,,,,,,,,,,,20
5018,50,47,53,57,59,51,57,61,,47,31,36,51,59,32,50
5019,51,52,58,58,59,51,57,61,,48,31,33,109,63,38,50
5020,,,,,,,,,,,,,,,,20
5021,,,,,,,,,,,,,,,,20
5022,50,22,14,15,13,18,1,2,2,12,19,76,61,24,22,50
5023,22,,22,,,,,,,,,,,,,20
5025,,,,,,,,,,,,23,,,,20
5026,,,,,,,,,,,,,,,,20
5027,51,44,62,33,45,46,7,45,16,46,7,5,19,53,54,50
5028,19,6,15,13,4,4,5,12,10,5,10,3,28,8,26,50
5029,,,,,,,,,,,,,,,,20
5030,,,,,,,,,,,,,,,,20
5031,47,33,9,33,35,35,4,4,2,18,24,75,61,13,9,50
5032,,,,,,,,,,,,,,,,20
5033,,,,,,,,,,,,,,,,20
5034,16,42,13,39,4,,22,,,,,,,8,,50
5035,37,35,37,35,34,38,33,37,5,35,5,29,41,45,42,50
5036,,,,,,,,,,,,,,,,20
5037,,,,,,,,,,,,,,,,20
5038,,,,,,,,,,,,,,,,20
5039,38,9,15,14,22,9,,,,,,16,7,,,30
5040,,,,,,,,,,,,,,,,20
5041,13,,,,,,,,,,,,10,,,50
5042,,,,,,,,,,,,,,,,20
5043,30,16,,35,,,,,16,23,5,6,18,52,54,50
5044,51,34,49,38,29,19,23,9,,29,,,,,,50
5045,,,,,,,,,,,,,,,,20
5046,,28,,,,,,23,,,,7,28,,,35
5047,,,,,,,,,,,,,,,,20
5048,,,,84,16,,,,,31,,,20,,,35
5049,,,,,,,,,,,,,,,,20
5050,25,3,,,22,,,,,,,,,,,20
5051,25,,,,4,,,,,,,,,,,20
5052,24,,,,,,,,,,,,,,,20
5053,35,,15,,25,22,,,,,,,8,13,,30
5054,,,,,,,,,,,,,,,,20
5055,,,,11,27,,,,23,,,,15,,,35
5056,,,,,,,,,,,,,,,,20
5057,,22,,,,,,11,,,,,10,,,35
5058,,,,,,,,,,,,,,,,20
5059,,,,,,,,,,,,,,,,20
5060,,,,,,,,,,,,21,,,,20
5061,,,,,,,,,,,,,,,,20
5062,,,,,,,,,,,,,,,,20
5063,20,13,27,29,46,39,71,16,61,52,23,48,,,23,50
5064,44,52,62,56,48,60,53,54,61,,31,45,,68,,50
5065,38,27,37,35,55,39,73,36,63,53,4,44,,,25,50
5066,38,52,52,65,44,51,45,45,62,,31,37,,58,,50
5067,35,37,46,34,41,48,38,38,48,66,44,,45,,,50
5068,32,,,,,30,,,54,,,39,,,,30
5069,46,,,,35,45,66,,,,26,,,20,26,50
5070,28,29,,,,,,23,,,,28,,18,,30
5071,26,16,,,,,,30,,,,24,,14,,30
5072,19,,,,,,,,,,,,,,,20
5073,,,,,,,,,,,,,,,,20
5074,49,46,56,58,57,48,82,50,49,69,54,,52,,,50
5075,26,,,,,26,,15,,,18,,,4,18,30
5076,27,,,,,,,,,,,,,,,20
5077,,,,,,,,,,,,,,,,50
5078,,,,,,26,,21,,,,,,,,20
5080,27,,,,24,16,22,,13,,,31,,,,50
5081,5,25,,,,,,41,,,,27,,,,20
5082,66,,,,,29,,,,,,,,,,20
5083,48,44,56,57,57,48,82,46,49,69,51,,52,,,50
5084,17,,,,,,,,,,,,,2,14,30
5085,31,40,40,37,46,49,59,34,61,47,31,26,39,42,,50
5086,17,,,6,,,,,,,21,,,,,20
5087,54,51,54,59,56,49,77,64,64,64,,53,,,69,50
5088,20,32,47,7,,35,6,,,,31,37,25,,,50
5089,18,,,,22,9,11,,,,,,,,,50
5090,20,32,47,7,,41,6,,,,30,37,25,,,50
5091,18,,,,22,9,11,,,,,,,,,50
5092,43,15,39,43,53,39,73,39,36,55,29,44,,,28,50
5093,48,46,48,54,51,43,78,50,53,54,38,48,,,67,50
5094,30,42,40,30,44,51,59,17,61,,31,23,27,42,,50
5095,,,,,,,,,,,,,,,,20
5096,9,,,,,,,,,,,,,,,20
5097,37,48,40,65,22,51,59,17,61,,31,32,,56,,50
5098,,,,,,,,,,,,,,,,20
5099,,,,,,,,,,,,,,,,20
5100,,,,,,,,,,,,,,,,80
5101,,,,,,,17,,,,,,,,,80
5102,38,28,,,38,36,,,47,28,,38,,,,50
5103,34,31,,,49,,32,,,35,41,,,39,,50
5104,,12,,,32,,,,,,,,,,,80
5105,,,,,,,,,,,,,,,,80
5106,,,,,44,,41,,,,,,,,,50
5107,39,,,,,,,,,,,,,,,50
5108,,,,,,,,,,,,,,,,50
5109,,,,,,,,,,,,,,,,50
5110,46,53,,,57,49,,,54,65,,,,,53,50
5111,44,,,,45,54,49,,,57,,49,,57,,50
5112,19,,,,,,,,,,,,,,,50
5113,38,,42,,,,,,,,,,,,,50
5114,28,,,,,,,,,,,,,,,50
5115,,,,,37,,41,,,,,,,,,50
5116,44,,,,48,70,45,,,65,,51,,48,,50
5117,51,50,,,58,44,,,61,63,,,,,55,50
5118,30,,,,,,,,,,,,,,,50
5119,25,,,,37,,34,,,,,,,,,50
5120,17,,,,,,58,,,,,,,,,50
5121,24,,27,,,,,,,,,,,,,50
5122,31,,32,,,,,,,,,,,,,50
5123,15,,,,,,,,,,,,,,,50
5124,37,,,,,,,,,,,,,,,50
5125,17,,,,50,,58,,,,,,,,,50
5126,47,,,,50,63,48,,,64,,51,,49,,50
5127,51,50,,,58,44,,,61,63,,,,,55,50
5128,24,,,,9,,57,,,,,,,,,50
5129,,,,,,,,,,,,,,,,50
5130,39,32,,,32,34,,,40,48,,,,,35,50
5131,40,54,,,46,50,,,40,48,,,,,55,50
5189,,,,,,,,,,,,,,,,35
5132,35,35,,33,35,46,38,,,34,39,35,,41,24,50
5133,35,28,,,36,35,,,43,26,,37,,,,50
5134,35,29,,,49,,32,,,35,41,,,38,,50
5135,33,28,,37,30,43,50,,43,25,30,36,,37,25,50
5136,33,38,,,35,,,,,34,,,,34,,50
5137,32,27,,37,34,43,23,,,32,41,26,,35,22,50
5138,44,,,,31,,,,,42,,,,,,50
5139,52,56,,49,55,,,,,44,56,,,40,38,50
5140,38,29,,33,36,,,,,17,35,,,23,26,50
5141,38,,,,16,,,,,42,,,,,,50
5142,26,17,,30,27,62,48,,,56,29,44,,57,22,50
5143,42,56,,,49,50,,,38,48,,,,,55,50
5144,26,21,,31,35,62,44,,,46,35,44,,42,23,50
5145,,,,,,,0,,,,,,,,,50
5146,,,,,,,,,,,,,,,,50
5147,47,,,53,,68,50,51,,63,,48,,46,47,50
5148,33,34,,,42,47,3,,48,46,,,,,39,50
5149,24,,,,,,,,22,,,,,,,20
5150,,,,,,,,,,,,,,,,20
5151,35,,,,,,53,,,33,,,,,,35
5152,18,,,,,,,,21,,,,,,,35
5153,,,,,,,,,,,,,,,,50
5154,,,,,,,,,,,,,,,,50
5155,,,,,,,,,,,,,,,,50
5156,,,,,,,,,,,,,,,,50
5157,,,,,,,,,,,,,,,,50
5158,,,21,,,,,,,,,,,,,50
5159,,,,,,,,,,,,,,,,50
5160,,,,,,,,,,,,,,,,50
5161,18,,,,,,,,21,,,,,,,35
5162,33,,,,,,,,,33,,,,,,35
5163,44,51,47,49,46,46,,39,39,53,,50,,,,50
5164,48,,49,54,58,51,57,48,47,47,43,53,,,48,50
5165,48,,,50,,74,51,51,,68,,50,,46,46,50
5166,45,47,,,46,49,,,60,62,,,,,56,50
5167,43,46,,,45,49,,,58,60,,,,,50,50
5168,43,,,,,67,52,,,69,,50,,31,,50
5169,51,48,,,50,49,,,60,60,,,,,57,50
5170,45,,,,43,66,51,,,67,,51,,46,,50
5171,42,50,,,58,48,,,61,56,,,,,55,50
5172,63,76,64,62,69,,60,51,66,68,61,70,,61,68,70
5173,71,73,69,73,74,76,73,72,70,70,65,73,69,82,82,70
5174,70,70,78,69,69,69,79,65,71,81,65,85,79,67,71,70
5175,25,,,28,,30,12,,,,,,,,,20
5176,38,33,,,,,39,,,,,,,,,20
5177,70,70,74,68,67,69,80,65,69,81,65,85,79,67,72,70
5178,71,73,72,76,73,76,82,71,70,71,75,81,69,82,90,70
5179,70,70,78,69,67,69,79,65,69,81,65,85,79,67,72,70
5180,24,,,,,,,,,,,,,,,30
5181,,,,,,,,,,,,,,,,30
5182,,,,,,,,,,,,,,,,35
5183,35,,,32,47,,,,,,,,,,41,50
5184,40,,,,,,,,,40,,,,,,50
5185,32,31,,,,,,,,,,,,,,30
5186,28,,,28,,21,15,,,,,,,,,30
5187,,,,,,,,,,,,,,,,30
5188,28,,,,,,,,,,,,,,,30
5190,21,,,,,,,,,,,,,,,35
5191,45,58,,31,55,,52,,,,,,,,,50
5192,51,51,,,,52,50,,,,,,,,,50
5193,33,,,,,,,,,,,,,,,30
5194,22,,24,23,,,,21,7,8,,,,,,30
5195,45,58,,32,55,,52,,,,,,,,,50
5196,46,51,27,18,,53,50,21,7,32,,,,,,50
5197,33,,,,,,,,,,,,,,,30
5198,25,,27,18,,,,21,6,8,,,,,,30
5199,34,,,,,,,,,,,,,,,30
5200,21,,36,27,,,,1,13,7,,,,,,30
5201,,,,,36,,,,,,,,,,21,35
5202,,,,,23,,,,,,,,,20,,35
5203,47,56,,31,36,,48,,,,,,,,,50
5204,55,51,,,,51,48,,,,,,,,,50
5205,,,,,,,,,,,,,,,,20
5206,,,,,,,,,,,,,,,,20
5207,,,,,23,,,,,,,,,19,,20
5208,,,,,31,,,,,,,,,,,20
5209,5,,,,,,,,,,,,,,11,35
5210,35,,32,,,,,,,,,,,,,30
5211,34,,,,,,,,,,,,,,,30
5212,,,,,,,,,,,,,,,,35
5213,,,,,,,,,,,,,,,,35
5214,,,,,11,,,,,,,,,36,,35
5215,,,,,19,,,,,,,,,,,35
5216,52,,,,,41,36,,,,,,,,,50
5217,48,47,,30,41,,43,,,,,,,,45,50
5218,26,,,,,,,,,,,,,,,30
5219,34,,30,,,,,,,,,,,,,30
5220,,,,,23,8,,,,,,,,,,35
5221,,,,,,,,,10,,,,,,10,35
5222,,,,2,,,,,,,,,,,,20
5223,,,,,,,,,,,,,,,,20
5224,,,,,,,,,,,,,,,17,35
5225,38,42,31,35,41,41,,40,35,51,49,12,,33,30,50
5226,19,,,,,,,,,,,,,,,35
5227,71,74,72,76,73,76,76,71,70,71,75,81,68,82,90,70
5228,,,,,,,,,,,,,,,17,35
5229,,,,,,,,,,,,,,,,35
5230,72,69,86,84,71,75,80,73,72,87,74,86,76,77,71,70
5231,51,49,52,62,51,51,,50,41,59,51,52,,62,53,70
5232,72,74,72,76,73,76,81,71,70,71,75,81,69,82,90,70
5233,44,47,48,44,55,50,50,45,47,46,40,28,,41,48,50
5234,23,8,,,5,3,,,,,,8,,2,6,20
5235,20,35,34,35,25,,41,34,19,28,48,44,,28,4,50
5236,12,32,33,12,28,,42,12,18,19,48,46,,27,13,50
5237,38,43,43,40,49,43,40,39,41,40,44,27,,32,41,50
5238,15,,,,,,,,,,,,,,,20
5239,,,,,,,,,,,,,,,,20
5240,,,,,1,23,,19,,,,,,,11,35
5241,,,,,,,,,,,,,,15,,35
5242,,,,,,23,,16,,,,,,,6,35
5243,,,,,,,,,,,,,,16,,35
5289,42,,,,,,,,,,,,,,,50
5244,18,,,15,,10,,,,,5,,,17,8,20
5245,24,44,38,11,39,31,44,11,12,19,45,46,,,38,50
5246,,,,,,,,,,,,,,20,,35
5247,,,,,4,17,,,,,,,,,20,35
5248,,,,,,,,17,,,,,,,,20
5249,,,,,,,,,,,,,,,,20
5250,18,,,,,,,,,,,,,,,20
5251,24,8,,29,,,,,,3,35,,,,27,50
5252,27,44,43,13,38,30,44,11,25,19,48,17,,29,34,50
5253,30,43,69,34,16,33,33,37,30,27,35,27,,,23,50
5254,16,44,38,7,10,27,39,31,12,,45,1,,34,13,50
5255,36,8,,29,,,,,,14,35,,,,30,50
5256,15,43,69,28,10,13,33,36,20,27,22,27,,,15,50
5257,10,31,69,16,12,13,33,17,11,27,22,27,,34,13,50
5258,40,47,46,45,43,33,44,41,36,30,49,48,,31,46,50
5259,13,4,5,7,5,27,,32,12,,45,1,,34,13,50
5260,,,,,30,,29,,41,,,,,,,50
5261,25,38,5,11,12,33,,17,35,36,45,1,,11,13,50
5262,29,34,31,36,20,36,,11,37,36,34,,,7,,50
5263,,,,,,,,,,,,,,,,20
5264,12,,,,,,,,,,,,,,,20
5265,52,8,,30,34,,28,,39,44,35,,,,39,50
5266,,,,,,,,,,,,,,,14,20
5267,,,,,19,13,,,,,,,,,,20
5268,52,12,,42,40,,41,,46,50,43,,,,42,50
5269,,,,,,,,,,,,,,,,20
5270,18,,,,,,,,,,,,,,,20
5271,,,,,19,,,,,,,,,18,15,35
5272,,,,,33,,,,,,,,,,20,35
5273,97,100,102,106,96,89,97,98,89,89,78,101,99,,103,100
5274,87,95,97,96,96,99,99,98,87,94,93,83,86,87,103,100
5275,89,93,90,90,64,28,28,36,26,51,69,89,95,97,98,100
5276,96,98,95,108,95,88,94,90,80,86,78,97,97,,103,100
5277,95,91,104,106,101,105,104,109,130,109,109,97,88,99,97,100
5278,92,95,93,96,35,30,34,35,26,51,54,84,97,99,99,100
5279,90,95,99,97,97,101,97,100,92,98,97,87,89,92,101,100
5280,80,89,87,88,85,95,93,95,85,88,85,78,74,85,91,100
5281,82,90,90,90,87,97,94,92,87,93,90,73,75,84,97,100
5282,85,96,96,95,96,91,97,98,90,97,93,84,80,84,101,100
5283,92,98,100,100,99,101,103,102,94,100,100,88,92,94,102,100
5284,96,99,103,105,102,104,102,108,129,104,109,97,88,100,98,100
5285,97,95,103,107,102,105,104,109,133,106,110,97,88,100,99,100
5286,97,100,102,106,68,88,84,81,71,82,78,94,94,,104,100
5287,94,95,97,97,48,40,50,41,45,52,73,87,97,100,99,100
5288,53,,,,,35,,,,,,,,,,50
5395,31,,38,44,41,,,,,,43,,,,,50
5290,38,,,,,,,,,,,,,,,50
5291,45,,,,,31,,,,,,,,,,50
5292,35,25,,,18,35,31,48,,,46,,,,35,50
5293,46,,43,33,,22,33,,38,42,,47,42,,,50
5294,,,,,,,,,,,,,,,,30
5295,,,,,,,,,,,,,,,,30
5296,40,,41,,35,46,,48,46,44,,45,,,,50
5297,32,49,64,47,44,,,,,,36,,26,,,50
5298,35,34,,,30,33,35,44,,,40,,,,34,50
5299,46,,43,33,,24,2,6,36,42,,43,41,,,50
5300,36,,,49,40,46,,54,46,49,,45,,,,50
5301,30,49,64,47,44,,,,,,33,,26,,,50
5302,,,,,,,,,,,,,,,,30
5303,,,,,,,,,,,,,,,,30
5304,36,,,49,39,46,,54,46,47,,45,,,,50
5305,31,49,64,47,44,,,,,,33,,26,,,50
5306,,,,,,,,,,,,,,,,20
5307,,,,,,,,,,,,,,,,20
5308,33,,38,44,43,,,,,,45,,,,,50
5309,33,,41,,33,42,,42,36,40,,40,,,,50
5310,17,,,,,,,,,,,,,,,30
5311,,,21,,,,,,,,,,,,,30
5312,,,23,,,,,,,,,,,,,30
5313,21,,,,,,,,,,,,,,,30
5314,,,,,18,,,,,,,,,,,30
5315,,,,,,,,,,,,,,,,30
5316,46,,43,33,,22,34,,38,43,,47,42,,,50
5317,35,25,,,18,35,31,48,,,50,,,,35,50
5318,,,,,,,,,,,,,,,,30
5319,18,,,,,,,,,,,,,,,30
5320,34,49,60,45,44,,,,,,40,,,,,50
5321,40,,40,,33,46,,42,36,40,,42,,,,50
5322,36,35,,,,32,35,41,,,38,,,,31,50
5323,47,,43,33,,26,1,2,36,42,,40,41,,,50
5324,,,,,,,,,,,,,,,,20
5325,,,,,,,,,,,,,,,,20
5326,,,,,,,,,,,,,,,,30
5327,,,,,,,,,,,,,,,,30
5328,36,35,,,,32,35,41,,,38,,,,31,50
5329,47,,43,33,,26,1,2,36,42,,40,41,,,50
5330,,,,,,,,,28,,,,,,,30
5331,,,,,,,,,,,,,,,,30
5332,,,,,,,,28,,,,,,,,30
5333,,,,,,,,,,,,,,,,30
5334,31,49,51,57,47,,,,,,42,,32,,,50
5335,36,,,49,39,49,,54,46,50,,53,,,,50
5336,,,,,,,,,,,,,,,,30
5337,,,,,,,,,,,,,,,,30
5338,,,,,,,,,,,,,,,,30
5339,,,,,,,,,,,,,,,,30
5340,,,,,,,,,,,,,,,,30
5341,,,,,,,,,,,,,,,,30
5342,56,78,75,73,69,,,,,65,,,64,,,60
5343,61,,,62,63,66,,78,57,72,,74,,,,60
5344,,,,,,,,,,,,,,,,30
5345,,,,,,,,,,,,,,,,30
5346,,,,,,,24,,,,,,,,,30
5347,26,,36,33,26,,32,,31,33,,35,22,,,45
5348,,,,,,,,,,,,,,,,30
5349,20,,,,,,,,14,,,,,,,30
5350,40,39,,,29,30,29,34,,,39,,,,26,50
5351,30,,,,,,,36,,,,,,,,30
5352,42,,23,33,,,33,,34,40,,36,31,,,50
5353,,,,,,,,18,,,,,,,,30
5354,,,,,,,,,,,,,,,,30
5355,,,,,,,,,23,,,,,,,30
5356,,,,,,,,,,,,,,,,30
5357,,,,,,,,,,,,,,,,30
5358,41,,42,,46,,56,47,24,,,,,,,50
5359,,,20,,,,,,,,,,,,,30
5360,,,,,,,,,,,,,,,,30
5361,,,,,,,,,,,,,,,,30
5362,,,,,,,,,,,,,,,,30
5363,,,,,,,,,,,,,,,,30
5364,35,,,,,,,44,,,,,,,,30
5365,19,,,,,,,,7,,,,,,,30
5366,42,,53,,48,,60,53,7,,,,,,,50
5367,44,51,52,49,50,49,58,48,43,,52,,,,,50
5368,,,,,,,,,,,,,,,,30
5369,,,,,,,,,,,,,,,,30
5370,,,,,,,,,,,,,,,,30
5371,,,,,,,18,,,,,,,,,30
5372,,,,,,,,,,,,,,,,30
5373,,,,,,,18,,,,,,,,,30
5374,,,,,,,,,,,,,,,,30
5375,,,,,,,,,,,,,,,,30
5376,,,,,,,,,,,,,,,,30
5377,,,,,,,,,,,,,,,,30
5378,,,,,,,,,,,,,,,,30
5379,,,,,,,,,,,,,,,,30
5380,,,,,,,,,,,,,,,,30
5381,,,,,,,,,,,,,,,,30
5382,,,,,,,,,,,,,,,,30
5383,,,,,,,,,,,,,,,,30
5384,44,,49,,,,,43,,,56,,,49,,50
5385,36,36,,,25,34,32,47,,,48,,,,40,50
5386,44,,47,,,,41,,46,,,,,,69,50
5387,43,,43,33,,,38,,38,43,,46,42,,,50
5388,,,,,,,,,,,,,,,,30
5389,,,,,,,,,,,,,,,,30
5390,,,,,,,19,,,,,,,,,30
5391,,,,,,,,,,,,,,,,30
5392,,,,,,,,,,,,,,,,30
5393,29,,41,,33,37,,42,36,40,,33,,,,50
5394,,,,,,,,,,,,,,,,30
5396,,,,,,,,,,,,,,,,30
5397,,,,,,,,,,,,,,,,30
5398,,,,,,,,,22,,,,,,,30
5399,,,,,,,,,,,,,,,,30
5400,58,,26,,,,41,,51,,,,,,99,50
5401,,,,,,,,,,,,,,,,30
5402,53,,70,,,,,50,,,79,,,33,,50
5403,,,,,,,,,,,,,,,,30
5404,,,,,,,,,,,,,,,,30
5405,,,,,,,,,,,,,,,,30
5406,,,,,,,,,,,,,,,,30
5407,23,,,,,,,,,,,,,,,30
5408,,,,,,,,,,,,,,,,30
5409,,,,,,,,,,,,,,,,30
5410,,,,,,,,,,,,,,,,30
5411,,,,,,,,,,,,,,,,30
5412,,,,,,,,,,,,,,,,30
5413,,,,,,,,,,,,,,,,30
5414,,,,,,,,,,,,,,,,30
5415,,,,,,,,,,,,,,,,30
5416,,,,,,,,,,,,,,,,30
5417,,,,,,,,,,,,,,,,30
5418,,,,,,,,,,,,,,,,30
5419,,,,,,,,,,,,,,,,30
5420,,,,,,,,,,,,,,,,30
5421,21,,,,,,,,,,,,,,,30
5422,,,,,,,,,,,,,,,,30
5423,,,,,,,,,,,,,,,,30
5424,,,,,,,,,,,,,,,,30
5425,,,,,,,,,,,,,,,,30
5426,19,,,,,,,,,,,,,50,,50
5427,,,15,,,,,,,,,,,,,30
5428,24,,44,,,,,,,,,,,,,50
5429,,,,,,,,,,,,,,,,30
5430,19,,,19,,,,21,,,,,,,,30
5431,30,,,,,16,,,,,,19,,,,30
5432,,,,,,,,,,,,,,,,30
5433,,,,,,,,,,,,,,,,30
5434,,,,,,,,,,,,,,,,30
5435,,,,,,,,,,,,,,,,30
5436,,,,,,,,,,,,,,,,30
5437,,,,,,,,,,,,,,,,30
5438,,,,22,,,,,,,,,,,,30
5439,,,,,,,,,,,,,,,,30
5440,,,,,,4,,,,,,,,,,30
5441,,,,42,,,,,,,,,,,,30
5442,,,,,,,,,,,,,,,,30
5443,,,,,,,,,,,,,,,,30
5444,,,,,,,,,,,,,,,,30
5445,,,,,,,,,,,,,,,,30
5446,,,,,,,,,,,,,,,,30
5447,,,,,,,,,,,,,,,,20
5448,,,,,,,,,,,,,,,,30
5449,,,,,,,,,,,,,,,,20
5450,55,,75,,,,,48,,,77,,,13,,50
5451,,,,,,,,,,,,,,,,20
5452,57,,,,,,41,,53,,,,,,55,50
5453,,,,,,,,,,,,,,,,20
5454,44,,52,,46,,61,55,,,,,,,,50
5455,44,46,50,44,48,45,53,46,43,,51,,,,,50
5456,,,,,,,,,,,,,,,,30
5457,,,,,,,,,,,,,,,,30
5458,,,,,,,,,,,,,,,,30
5459,,,,,,,,,,,,,,,,30
5460,16,,,,,7,,,,,,24,,,,30
5461,18,,,24,,,,21,,,,,,,,30
5462,,,,,,,,,,,,,,,,30
5463,,,,,,,,,,,,,,,,30
5464,,,,,,,,,,,,,,,,30
5465,,,,,,,,,,,,,,,,30
5466,,,,,,,,,,,,,,,,30
5467,,,,,,,,,,,17,,,,,30
5468,,,,,,,,,,,,,,,,30
5469,,,,,,,,,,,,12,,,,30
5470,,,,,,,,,,,,,,,,30
5471,,,,,,,,,,,,,,,,30
5472,,,,,,,,,,,,,,,,30
5473,,,,,,,,,,,,,,,,30
5474,,,,,,,,,,,,,,,,30
5475,,,,,,,,,,,,,,,,30
5476,,,,24,,,,,,,,,,,,30
5477,,,,,,,,,,,,,,,,30
5478,,,,,,,,,,,,,,,,30
5479,39,,,,,19,,,,,,,,,,50
5480,,,,,,,,,,,,,,,,30
5481,23,,,,,,,,,,,,,,,50
5482,,,,,,,,,,,,,,,,30
5483,39,,,,,17,,,,,,,,,,50
5484,,,,,,,,,,,,,,,,30
5485,27,,,,,,,,,,,,,,,50
5486,,,,,,,,,,,,,,,,30
5487,43,,,,,36,,,,,,,,,,50
5488,,,,,18,,,,,,,,,,,30
5489,34,,,,,,,,,,,,,,,50
5490,,,,,,,,,,,,,,,,30
5491,40,,,,,28,,,,,,,,,,50
5492,,,,,,,,,,,,,,,,30
5493,10,,,,,,,,,,,,,,,50
5494,38,34,41,40,38,37,41,44,41,,42,47,,,,50
5495,41,,35,57,47,,34,47,,,,,,,,50
5496,,,,,,,,,,,,,,,,30
5497,,,,,,,,,,,,,,,,60
5498,,,,,,,,,,,,,,,,30
5499,,47,47,,48,,46,,,45,,,,,,60
5500,,,,,,,,,,,,,,,,30
5501,,,,,,,,,,,,,,,,30
5502,,,,,,,,,,,,5,,,,30
5503,,,,,,,,,,,,,,,,60
5504,18,,,,,,,,,,,,,,,30
5562,,,,,,,,,,,,,,,,30
5563,,,,,,,,,,,,,,,,30
5505,,45,44,,48,,38,,,44,,,,,,60
5506,,,,,,20,,,,,,,,,,30
5507,,,,,,,,,,,,,,,,30
5508,,,,,,,,,,,,,,,,30
5509,,,,,,,,,,,,,,,,30
5510,,,,,,,,,,,,,,,,30
5511,,,,,,,12,,,,,,,,,30
5512,45,,40,51,44,,51,51,,,,,,,,50
5513,46,44,48,47,40,44,49,44,46,,50,45,,,,50
5514,,,,20,,,,,,,,,,,,30
5515,,,,30,,,,,,,,,,,,30
5516,,,,,,,,,,,,,,,,30
5517,,,,35,,,,,,,,,,,,30
5518,30,,,,,,,,,,,,,,,50
5519,,,48,,,,,,,,,,,,,50
5520,,,,,,,,,,,,,,,,30
5521,,,,,,,,,,,,,,,,30
5522,,,,,,,,,,,,,,,,30
5523,,,,,,,,,,,,,,,,30
5524,25,,,,,,,,,,,,,,,50
5525,,,,,,,,,,,,,,,,30
5526,,,54,,,,,,,,,,,,,50
5527,,,,,,,,,,,,,,,,30
5528,,,,,,,,,,,,,,,,30
5529,,,,,,,,,,,,,,,,30
5530,,,,,,,,,,,,,,,,30
5531,,,,,,,,,,,,,,,,30
5532,,,,,,,,,,,,,,,,30
5533,,,,35,,,,,,,,,,,,30
5534,,,,,,,,,,,,,,,,30
5535,,,,38,,,,,,,,,,,,30
5536,,,,,,,,,,,,,,,,30
5537,,,,,,,,,,,,,,,,30
5538,,,,,,,,,,,,,,,,30
5539,,,,,,,,,,,,,,,,30
