id,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname,base_hits
3881,41,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,Karspeldreef,43
3985,47,70,78,77,,78,79,74,80,87,79,76,75,74,73,75,74,73,74,75,,80,81,73,70,74,,50,4,Karspeldreef,44
3894,29,25,,37,44,50,3,20,24,29,23,21,21,11,18,17,9,21,23,18,11,6,11,7,17,18,26,65,4,AnonymousRoadnl14153758,48
3900,41,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,Karspeldreef,42
3905,45,,,,,30,,,,,,,,,,,,,,,,,,,,,,50,4,Karspeldreef,38
3929,40,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,Karspeldreef,44
3936,70,,27,,,,,,32,,,19,,,,,,,23,,,,,,,25,,70,3,Pampuslaan,52
3939,67,,,15,23,,,,29,27,,16,,,,,,,,,,,,,,,,70,3,Pampuslaan,50
3946,42,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,Karspeldreef,38
3947,68,,20,,,,23,69,,,,16,,,,,,,,,,4,,,,,,70,3,Pampuslaan,50
3949,72,,,15,53,40,42,,29,51,34,16,37,,38,57,38,48,,37,48,,39,40,,,,70,3,Pampuslaan,53
3951,40,74,74,84,77,155,69,,77,,76,75,67,86,69,74,75,,78,80,,63,76,,,,69,50,4,Karspeldreef,38
3956,39,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,Karspeldreef,32
3957,67,,,,,,,,,,,,,,,,,,,,,,,,,,,70,3,Muiderlaan,51
3958,28,,32,39,,,,33,47,,46,,,,36,29,,68,28,44,36,33,27,35,25,,,50,4,AnonymousRoadnl14154339,29
3960,66,,,,,,,,,13,,,,,,,,,,,,,,,,,,70,3,Muiderlaan,51
3963,17,21,,,9,,19,18,18,,22,24,3,6,8,18,3,6,13,,,8,8,6,15,4,6,65,4,AnonymousRoadnl14153758,23
3968,23,13,,37,44,50,19,26,19,24,18,20,16,8,16,17,4,7,8,5,,5,13,6,13,20,26,65,4,AnonymousRoadnl14153758,55
3969,39,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,Karspeldreef,45
3972,32,28,38,34,29,32,37,41,9,40,29,21,27,6,23,21,14,5,3,8,,5,6,3,3,20,35,50,4,AnonymousRoadnl14153758,35
3980,38,,,,,56,109,,,,,,,,,,,30,,,,,13,,,,,50,4,AnonymousRoadnl14154333,277
3983,67,,46,,37,53,,44,52,44,55,49,41,48,,45,51,61,56,46,,62,,54,,47,52,70,3,Pampuslaan,52
3984,60,57,64,66,60,59,60,57,54,58,42,4,34,55,55,53,51,51,35,42,10,22,8,60,57,29,62,50,3,Burgemeester Stramanweg,182
3986,70,68,65,83,75,69,72,,78,,73,75,63,81,68,69,75,,77,47,25,63,79,,,,61,70,3,Pampuslaan,52
3995,43,,,,,,,27,,14,,23,,,,,,26,,,,,,,23,20,,50,4,Karspeldreef,39
3998,22,,,,,,,27,,,,37,,,,,,29,,,,,,,27,20,,65,4,AnonymousRoadnl14154344,15
4002,28,24,32,37,45,50,5,23,24,29,26,25,25,13,21,25,9,16,23,18,11,15,11,7,17,20,22,65,4,AnonymousRoadnl14153758,50
