id,segment id,length,frc,speedlimit,streetname,geom,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,base_hits
1155,15280002665351,503.63,2,80,Gooiseweg,,72.00,76.00,76.00,77.00,74.00,73.00,72.00,75.00,72.00,75.00,76.00,78.00,79.00,76.00,76.00,72.00,69.00,77.00,74.00,77.00,73.00,79.00,79.00,86.00,79.00,75.00,72,668
1158,15280000285196,521.49,2,80,Gooiseweg,,69.00,75.00,77.00,75.00,72.00,75.00,71.00,76.00,67.00,74.00,74.00,74.00,24.00,14.00,20.00,16.00,41.00,37.00,70.00,71.00,71.00,82.00,75.00,70.00,72.00,76.00,79,491
1322,15280001380484,48.33,4,50,Hugo de Vrieslaan,,45.00,46.00,45.00,43.00,,,,39.00,,54.00,,,23.00,47.00,41.00,36.00,43.00,48.00,44.00,33.00,43.00,44.00,50.00,26.00,55.00,37.00,59,64
1325,15280001380487,52.81,4,50,Hugo de Vrieslaan,,48.00,50.00,51.00,50.00,,,,48.00,,46.00,,,36.00,48.00,52.00,39.00,44.00,50.00,44.00,49.00,46.00,48.00,54.00,51.00,54.00,41.00,59,65
1326,-15280001380470,61.49,4,50,Hugo de Vrieslaan,,40.00,46.00,32.00,41.00,27.00,26.00,35.00,47.00,36.00,35.00,43.00,40.00,56.00,38.00,44.00,38.00,74.00,45.00,48.00,48.00,57.00,22.00,48.00,24.00,42.00,56.00,43,118
1327,15280001380486,10.65,4,50,Hugo de Vrieslaan,,46.00,47.00,45.00,50.00,,,,43.00,,54.00,,,34.00,48.00,49.00,39.00,44.00,48.00,44.00,41.00,45.00,46.00,50.00,47.00,55.00,40.00,59,65
1330,15280049799231,81.67,2,50,Wibautstraat,,40.00,50.00,40.00,42.00,40.00,39.00,47.00,32.00,38.00,40.00,47.00,32.00,43.00,,40.00,48.00,,45.00,41.00,,45.00,52.00,40.00,,,45.00,,449
1337,-15280000284034,43.40,4,50,Hugo de Vrieslaan,,39.00,45.00,38.00,41.00,28.00,36.00,50.00,50.00,31.00,33.00,42.00,30.00,49.00,37.00,46.00,45.00,53.00,45.00,47.00,48.00,57.00,20.00,46.00,,42.00,55.00,43,95
1338,15280049799228,28.00,2,50,Wibautstraat,,44.00,5.00,32.00,45.00,44.00,44.00,42.00,43.00,44.00,41.00,47.00,44.00,47.00,,,,,,,,,,,,,,,488
1348,-15280000284035,10.47,4,50,Hugo de Vrieslaan,,41.00,45.00,35.00,41.00,29.00,42.00,51.00,51.00,34.00,45.00,42.00,46.00,49.00,37.00,42.00,45.00,23.00,45.00,47.00,28.00,58.00,20.00,44.00,,42.00,55.00,44,95
1351,15280001380472,38.58,4,50,Hugo de Vrieslaan,,50.00,49.00,55.00,52.00,,,,50.00,,49.00,,,38.00,55.00,56.00,35.00,47.00,51.00,43.00,52.00,51.00,51.00,55.00,59.00,54.00,42.00,59,65
1352,-15280001380472,38.58,4,50,Hugo de Vrieslaan,,47.00,52.00,48.00,46.00,42.00,54.00,58.00,59.00,40.00,51.00,51.00,52.00,55.00,44.00,48.00,55.00,23.00,47.00,52.00,19.00,56.00,20.00,48.00,,44.00,73.00,44,94
1353,-15280001380471,51.17,4,50,Hugo de Vrieslaan,,45.00,47.00,44.00,44.00,34.00,50.00,52.00,57.00,36.00,45.00,48.00,48.00,53.00,40.00,44.00,55.00,23.00,45.00,48.00,19.00,57.00,20.00,46.00,,44.00,60.00,44,95
1356,15280000285186,521.60,2,80,Gooiseweg,,75.00,82.00,78.00,79.00,78.00,78.00,80.00,79.00,76.00,81.00,78.00,79.00,79.00,78.00,85.00,77.00,84.00,78.00,77.00,78.00,77.00,86.00,85.00,94.00,87.00,83.00,75,660
1357,15280000284037,11.50,4,50,Hugo de Vrieslaan,,51.00,48.00,60.00,52.00,,,,50.00,,50.00,,,39.00,55.00,56.00,35.00,48.00,44.00,37.00,54.00,51.00,51.00,56.00,59.00,54.00,47.00,59,65
1358,-15280000284037,11.50,4,50,Hugo de Vrieslaan,,47.00,52.00,48.00,46.00,42.00,54.00,47.00,60.00,38.00,51.00,51.00,52.00,58.00,42.00,48.00,53.00,23.00,48.00,52.00,19.00,55.00,20.00,55.00,,44.00,73.00,42,94
1367,15280000285198,39.34,2,80,Gooiseweg,,67.00,74.00,75.00,75.00,72.00,70.00,76.00,76.00,75.00,71.00,72.00,68.00,10.00,11.00,12.00,6.00,17.00,12.00,55.00,63.00,70.00,78.00,69.00,71.00,71.00,71.00,79,497
