id,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname,base_hits
13511,83,90,83,83,91,81,86,86,81,87,87,92,100,,,,30,,,,,,,,,,,100,4,AnonymousRoadnl14153691,163
13512,74,83,80,79,83,76,82,80,72,73,72,34,73,40,,,,40,,43,,,,,,,,70,4,AnonymousRoadnl14153688,114
13514,44,44,61,51,31,48,51,43,40,49,40,42,,,,,,,34,,,,,,,,,80,4,Joan Muyskenweg,105
13519,98,92,93,94,97,88,93,90,93,96,97,96,91,,,,,,,,,,,,,,,100,0,A2,1607
13520,40,11,33,51,38,61,,37,65,39,41,48,43,,,,,,,,,37,,,,,,80,4,Joan Muyskenweg,132
13523,88,88,96,87,91,85,88,83,84,86,86,92,88,85,86,87,103,94,96,103,90,100,,119,84,95,,100,0,AnonymousRoadnl14153622,385
13524,26,27,19,51,25,71,22,30,26,39,26,29,,24,27,16,26,36,17,,2,,,,,,,70,4,AnonymousRoadnl14131200,78
13525,73,72,74,71,85,78,76,74,74,73,70,76,84,79,76,83,75,73,94,93,81,79,,82,88,82,,100,4,AnonymousRoadnl14153622,308
13527,90,92,93,89,98,84,78,73,74,77,73,73,73,69,74,77,70,68,72,90,98,94,95,87,108,122,90,100,0,AnonymousRoadnl10153700,399
13528,32,,33,25,,31,,40,,,30,39,42,70,35,42,32,33,65,,,,42,39,,,37,50,4,AnonymousRoadnl14131204,73
13529,83,83,93,82,89,83,84,83,85,82,83,88,84,84,85,82,97,86,85,104,91,94,,117,85,94,,100,0,AnonymousRoadnl14153622,382
13530,41,,24,3,,36,,52,,,47,39,55,70,5,17,25,35,59,,,,42,41,,,45,50,4,AnonymousRoadnl14131192,74
13531,85,87,94,85,90,83,85,83,86,83,85,90,88,84,85,80,97,89,94,104,91,98,,118,84,95,,100,0,AnonymousRoadnl14153622,382
13532,35,,36,25,,28,,47,,,33,39,50,70,32,39,32,32,65,,,,42,39,,,43,50,4,AnonymousRoadnl14131204,73
13533,98,96,96,96,98,27,25,17,19,9,12,14,23,19,25,21,9,11,14,89,101,101,102,100,102,99,101,100,0,A2,1485
13534,53,80,60,52,54,55,53,,44,49,40,,,,,,,71,,,57,,,35,,48,54,80,4,Joan Muyskenweg,54
13537,76,83,79,79,84,76,82,87,70,76,70,12,73,,,22,,35,,,,,,,,,,70,4,AnonymousRoadnl14153688,113
13540,73,71,73,72,79,77,77,75,71,74,72,77,82,,13,,,,,,,,,,,,,100,4,AnonymousRoadnl14153622,308
13541,52,43,26,,55,64,44,71,54,47,45,58,,45,61,71,46,,,57,59,,42,,,,,80,4,Joan Muyskenweg,91
13542,54,58,66,44,56,55,66,60,51,56,42,56,41,93,92,91,97,93,90,99,102,102,104,97,103,101,83,80,4,Joan Muyskenweg,96
13543,95,93,88,95,92,90,84,86,86,85,87,85,91,,26,25,59,48,,,58,,,25,,,57,60,0,A9,674
13547,54,63,49,56,56,71,62,56,59,39,50,55,,83,59,64,59,58,56,62,6,,,,,,,70,4,AnonymousRoadnl14131192,80
13548,74,71,74,72,79,77,78,79,74,78,73,79,78,72,73,86,80,75,99,100,79,79,,78,74,72,,100,4,AnonymousRoadnl14153622,308
13549,85,93,98,99,88,95,92,96,89,82,85,91,86,85,92,98,101,85,93,85,108,92,77,108,123,81,81,100,0,Nieuwe Utrechtseweg,314
13550,79,82,78,81,87,76,80,85,64,77,54,13,9,11,79,80,81,80,85,84,81,85,82,83,73,72,83,70,4,AnonymousRoadnl10152928,196
13553,76,82,79,79,87,76,78,88,67,76,71,9,57,,22,,,18,,,,,,,,,,70,4,AnonymousRoadnl14153688,113
13554,51,9,46,,36,59,43,71,55,50,50,55,,45,65,66,46,36,,57,67,,42,,,,,80,4,Joan Muyskenweg,100
13555,53,55,67,52,53,63,61,61,43,51,40,54,,76,72,77,80,73,95,95,77,78,,78,74,72,,80,4,Joan Muyskenweg,96
13556,72,71,74,70,78,77,77,78,71,73,72,79,81,,,,55,43,,,54,,,5,,,50,100,4,AnonymousRoadnl14153622,308
13558,66,66,67,68,67,63,64,66,13,28,8,11,7,,,,23,,,,,,,,,,,70,4,AnonymousRoadnl10152928,195
13564,76,75,77,73,83,78,79,80,75,79,73,79,82,76,77,88,80,79,107,100,82,81,,83,78,80,,100,4,AnonymousRoadnl14153622,309
13565,82,40,75,80,71,81,82,76,81,84,75,97,75,93,72,68,86,104,84,87,88,77,73,88,80,58,100,70,0,Nieuwe Utrechtseweg,407
13566,50,9,55,,57,61,34,70,65,52,49,48,,48,66,58,45,57,,55,66,,42,,,,,80,4,Joan Muyskenweg,103
13575,90,77,95,85,96,95,92,93,89,99,94,97,93,100,92,93,84,99,93,97,96,76,95,92,91,61,117,100,0,Nieuwe Utrechtseweg,490
13578,90,77,89,85,95,95,93,93,90,97,89,97,88,95,93,92,84,101,93,94,95,78,95,89,88,60,116,100,0,Nieuwe Utrechtseweg,490
13583,51,34,59,,60,56,54,71,59,45,41,59,49,57,66,64,51,,,59,33,,42,,,,,80,4,Joan Muyskenweg,91
13585,54,63,65,59,57,21,62,64,52,57,45,59,59,,47,61,62,46,,,59,,,39,,,58,80,4,Joan Muyskenweg,92
13600,89,77,88,83,91,95,93,92,90,97,85,97,89,97,91,87,85,101,86,93,94,81,94,89,87,60,112,70,0,Nieuwe Utrechtseweg,490
13609,87,94,99,99,86,95,94,100,88,81,88,91,83,88,94,101,101,101,103,87,97,97,81,106,122,79,82,100,0,Nieuwe Utrechtseweg,305
13613,86,72,88,82,84,94,85,86,85,89,79,97,87,98,87,85,81,102,83,90,90,73,81,89,85,60,112,70,0,Nieuwe Utrechtseweg,489
13626,90,89,84,87,88,87,87,89,90,90,92,88,93,88,93,96,95,104,89,98,91,102,101,98,94,95,80,60,0,A9,793
13629,87,85,82,85,85,84,84,86,90,88,88,84,88,87,90,93,90,101,89,96,89,99,93,94,96,93,77,60,0,A9,793
13631,91,89,96,91,95,86,92,85,90,86,89,92,87,85,82,88,103,97,98,100,98,94,,118,82,95,,100,0,AnonymousRoadnl14153622,385
13634,66,69,67,67,66,66,65,66,68,69,65,65,70,,,,8,,,,,,19,,,,,60,0,A9,790
13638,85,84,82,84,83,82,81,84,88,87,88,83,89,53,51,49,29,45,23,,56,37,,41,54,,,60,0,A9,793
13641,89,88,96,89,90,85,88,83,87,88,85,89,87,,,,,,,,,,,,,,,100,0,AnonymousRoadnl14153622,385
13642,89,96,98,100,83,92,95,100,93,79,90,89,89,91,100,101,104,98,102,89,101,97,86,106,117,79,82,100,0,Nieuwe Utrechtseweg,306
13645,91,90,91,91,93,91,91,93,94,93,92,93,93,,46,,36,,51,41,50,45,,,46,45,50,100,0,AnonymousRoadnl10152932,1387
13648,49,,61,,59,,51,67,37,32,48,59,52,82,86,89,83,85,79,88,87,91,93,95,88,88,91,50,4,Joan Muyskenweg,87
13649,85,82,85,86,87,84,87,87,85,86,86,84,85,55,62,48,50,,,54,,,42,,,,,100,0,AnonymousRoadnl10152932,1386
13650,51,57,57,56,58,8,56,65,52,54,50,56,61,,55,55,60,30,,,56,,,39,,,58,50,4,Joan Muyskenweg,91
13652,54,65,59,55,60,8,69,65,50,57,45,58,63,82,88,89,85,88,83,90,88,91,93,97,91,89,91,80,4,Joan Muyskenweg,91
13654,87,84,87,87,89,86,87,89,88,88,88,86,89,,,,,,,,,,,,,,,100,0,AnonymousRoadnl10152932,1387
13655,51,,60,,61,,52,71,50,46,51,59,52,58,67,62,51,,,55,,,42,,,,,80,4,Joan Muyskenweg,87
13664,99,97,99,98,99,87,89,45,26,37,27,23,37,25,33,36,16,19,69,99,101,103,103,102,102,102,101,100,0,A2,1895
13666,87,87,85,88,88,85,81,69,70,67,68,70,71,18,,,,,,,,,,,,,,70,0,AnonymousRoadnl10152928,1477
13689,97,94,96,96,97,71,71,56,25,57,38,25,55,31,38,36,14,47,57,94,100,101,99,101,102,99,101,100,0,A2,1887
13698,73,70,72,74,75,73,74,74,71,75,75,73,75,74,71,75,70,72,70,75,72,79,82,85,77,72,69,70,0,AnonymousRoadnl10152932,1393
13700,76,92,68,72,80,79,77,78,77,77,69,9,27,38,78,75,74,78,78,79,95,78,100,79,64,66,70,70,4,AnonymousRoadnl10152928,83
13701,84,86,82,84,84,82,78,75,74,75,76,76,78,75,73,74,74,74,75,87,84,89,94,92,90,87,84,70,0,AnonymousRoadnl10152928,1477
13703,86,87,85,87,86,84,79,72,71,71,71,72,73,71,69,72,70,69,70,90,90,91,96,96,95,88,86,70,0,AnonymousRoadnl10152928,1478
13705,80,82,79,83,77,78,76,72,77,77,75,75,77,72,79,80,80,81,76,81,80,90,85,81,82,85,74,60,0,A9,786
13706,71,73,70,74,70,70,71,65,69,67,67,65,68,64,71,75,73,72,64,77,74,78,72,73,75,77,63,60,0,A9,786
13708,98,95,98,97,98,78,81,41,27,51,37,37,42,32,38,42,19,32,56,98,101,100,104,101,103,100,100,100,0,A2,1894
13709,98,94,99,96,100,95,97,96,97,98,97,99,89,76,88,99,102,100,100,101,104,102,101,104,102,103,103,100,0,A2,1990
13721,34,35,38,40,42,37,42,40,41,36,41,41,39,42,41,41,41,32,30,26,9,35,44,41,42,31,37,50,2,Wibautstraat,502
